id,prompt,difficulty,source
K001,Who invented the telephone?,Easy,Custom
K002,What is the capital of Australia?,Easy,Custom
K003,Who developed the theory of relativity?,Easy,Custom
K004,What is the largest ocean on Earth?,Easy,Custom
K005,What were the primary causes of World War I?,Medium,Custom
K006,What are the three branches of the United States government?,Medium,Custom
K007,What is the purpose of the United Nations?,Medium,Custom
K008,What were the main provisions of the Treaty of Westphalia and why is it considered significant in international relations?,Medium,Custom
K009,Explain the difference between mitosis and meiosis and describe their biological significance.,Hard,Custom
K0010,What factors contributed to the collapse of the Soviet Union in 1991?,Hard,Custom
